COD^"COD EAN13"^NUME^PRODUCATOR^CATEGORII^DESCRIERE^GREUTATE^PRET^"TIP REDUCERE"^"VALOARE REDUCERE"^STOC^"STOC LA COMANDA"^"PRODUSE RECOMANDATE"^"META DESCRIPTION"^"META KEYWORDS"^"PROMOVAT INDEX"^PROMOTIE^ACTIV
846^GPRS-T1^"Modul de raportare prin GPRS/SMS"^"[2] Satel"^"[11] Efractie Satel
[62] Accesorii sisteme de alarma Satel"^"<p>Modul de raportare prin GPRS/SMS. Compatibil cu orice model de centrala cu comunicator telefonic.</p>
<p>Foloseste protocoalele Contact ID sau SIA</p>
<p>Continuarea automata a raportarii prin SMS in caz de eroare GPRS</p>
<p>Mesagerie personala prin SMS/CLIP</p>
<p>Comanda de la distanta a intrarii modulului</p>
<p>Indicarea erorii de comunicatie</p>
<p>Configurarea modulului de la distanta via GPRS (utilizand programul GPRS-SOFT)</p>
<p>Actualizarea de la distanta a firmware-ului modulului prin aplicatia UpServe</p>"^0,5^252^"[0] Fara reducere"^0^100^NU^^"Modul de raportare prin GPRS/SMS. Continuarea automata a raportarii prin SMS in caz de eroare GPRS. Mesagerie personala prin SMS/CLIP"^"Modul de raportare prin GPRS/SMS. Mesagerie personala prin SMS/CLIP"^NU^NU^DA
729^GPRS-T2^"Modul de raportare prin GPRS/SMS"^"[2] Satel"^"[11] Efractie Satel
[62] Accesorii sisteme de alarma Satel"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Modul de raportare prin GPRS/SMS</span></span></p>
<ul>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">5 intrari pentru declansarea raportarii </span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Continuarea automata a raportarii prin SMS in caz de eroare GPRS</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Mesagerie personala prin SMS/CLIP</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Comanda de la distanta a intrarii modulului </span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Indicarea erorii de comunicatie</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Configurarea modulului de la distanta vis GPRS (utilizand programul GPRS-SOFT)</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Actualizarea de la distanta a firmware-ului modulului prin aplicatia UpServe.</span></span></li>
</ul>"^0,5^252^"[0] Fara reducere"^0^100^NU^^"Modul de raportare prin GPRS/SMS. Sistem alarma cu Modul de raportare prin GPRS/SMS. Configurarea modulului de la distanta vis GPRS (utilizand programul GPRS-SOFT). Actualizarea de la distanta a firmware-ului modulului prin aplicatia UpServe."^"Modul de raportare prin GPRS/SMS, Sistem alarma, sisteme de alarma sms, sisteme de alarma gprs, sistem de alarma cu modul de raportare"^NU^NU^DA
736^"USB - RS 232"^"Convertor USB - RS 232"^"[2] Satel"^"[11] Efractie Satel
[62] Accesorii sisteme de alarma Satel"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Convertor USB - RS 232.</span></span></p>"^0,2^43^"[0] Fara reducere"^0^99^NU^^"Convertor USB - RS 232. Sistem de alarma cu Convertor USB - RS 232, special creat pentru a oferi siguranta si protectie pentru orice imobil si suprafata. "^"Convertor USB - RS 232, Sistem de alarma, sisteme de alarma cu covertor, sistem alarma convertor, convertor usb, sistem cu convertor usb"^NU^NU^DA
848^MPT-300^"Telecomanda cu cinci canale programabile"^"[2] Satel"^"[11] Efractie Satel
[64] Dispozitive wireless 433Mhz. Compatibil cu centralele VERSA si INTEGRA"^"<p>&nbsp;Telecomanda cu cinci canale programabile</p>
<p>Dimensiuni 38 x 78 x 13mm</p>
<p>Baterie de tip CR2016 3V</p>"^0,05^43^"[0] Fara reducere"^0^100^NU^^"Telecomanda cu cinci canale programabile."^"Telecomanda cu cinci canale programabile."^NU^NU^DA
742^T-2^"Telecomanda cu doua canale independente T-2"^"[2] Satel"^"[11] Efractie Satel
[64] Dispozitive wireless 433Mhz. Compatibil cu centralele VERSA si INTEGRA"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Telecomanda cu doua canale independente, dimensiuni 35x70x15 mm,  baterie de tip 23 A, 12v  inclusa</span></span></p>"^0,2^29^"[0] Fara reducere"^0^100^NU^^"Telecomanda cu doua canale independente T-2. Sistem de alarma cu Telecomanda cu doua canale independente T-2. Telecomanda cu doua canale independente, dimensiuni 35x70x15 mm, baterie de tip 23 A, 12v inclusa"^"Telecomanda cu doua canale independente T-2, Sistem de alarma, sistem alarma cu telecomanda, sisteme alarma cu telecomanda, telecomanda sistem alarma"^NU^NU^DA
743^T-4^"Telecomanda cu 4 canale  independente T-4"^"[2] Satel"^"[11] Efractie Satel
[64] Dispozitive wireless 433Mhz. Compatibil cu centralele VERSA si INTEGRA"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Telecomanda cu 4 canale  independente, dimensiuni 35x70x15 mm, baterie de tip 23 A, 12v  inclusa.</span></span></p>"^0,2^30^"[0] Fara reducere"^0^100^NU^^"Telecomanda cu 4 canale  independente T-4. Sisteme alarma cu Telecomanda cu 4 canale  independente T-4. Telecomanda cu 4 canale independente, dimensiuni 35x70x15 mm, baterie de tip 23 A, 12v inclusa."^"Telecomanda cu 4 canale  independente T-4, Sisteme alarma, sistem alarma cu telecomanda, sisteme de alarma, telecomanda sistem alarma"^NU^NU^DA
744^INT-R^"Extensie pentru cititoare de proximitate acces control"^"[2] Satel"^"[11] Efractie Satel
[65] Sisteme pentru control acces. Compatibil numai cu centralele INTEGRA"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Extensie pentru cititoare de proximitate acces control.</span></span><span style=""font-size: small;""><span style=""font-family: Verdana;""> </span></span></p>
<ul>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Suporta doua cititoare (intrare/iesire), o usa</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Intrare pentru senzorul de stare al usii</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Intrare pentru deblocarea usii cu buton</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Functie de deblocare in caz de incendiu</span></span></li>
    <li><span style=""font-size: small;""><span style=""font-family: Verdana;"">Intrare anti-sabotaj.</span></span></li>
</ul>"^0,5^187^"[0] Fara reducere"^0^100^NU^^"Extensie pentru cititoare de proximitate acces control. Sistem de alarma cu Extensie pentru cititoare de proximitate acces control pentru siguranta si protectie. "^"Extensie pentru cititoare de proximitate acces control, Sistem de alarma, sisteme de alarma cu cititoare, cititoare proximitate acces control, sistem acces control"^NU^NU^DA
745^CZ-EMM^"Cititor de proximitate 125Khz"^"[2] Satel"^"[11] Efractie Satel
[65] Sisteme pentru control acces. Compatibil numai cu centralele INTEGRA"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Cititor de proximitate 125Khz pentru functia de control acces al centralelor INTEGRA.</span></span></p>
<ul>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Protocol de comunicatie Wiegand 26</span></span></li>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Dimensiune: 80 x 120 x 16mm.</span></span></li>
</ul>"^1^74^"[0] Fara reducere"^0^100^NU^^"Cititor de proximitate 125Khz. Sistem de alarma cu Cititor de proximitate 125Khz. Cititor de proximitate 125Khz pentru functia de control acces al centralelor INTEGRA."^"Cititor de proximitate 125Khz, Sistem de alarma, sisteme alarma cititor proximitate, sisteme de alarma proximitate, sisteme de alarma"^NU^NU^DA
746^CZ-EMM_4M^"Cititor de proximitate 125Khz CZ-EMM_4M"^"[2] Satel"^"[11] Efractie Satel
[65] Sisteme pentru control acces. Compatibil numai cu centralele INTEGRA"^"<p><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Cititor de proximitate 125Khz pentru functia de control acces al centralelor INTEGRA.  </span></span></p>
<ul>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Protocol de comunicatie Wiegand 26 </span></span></li>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Buton sonerie usa</span></span></li>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Dimensiune: 47 x 158 x 24 mm </span></span></li>
    <li><span style=""font-size: medium;""><span style=""font-family: Verdana;"">Grad de protectie: Ip66</span></span></li>
